Company,Description,Source,Link,Month,Year,Ticker
Louis Vuitton,"Louis Vuitton has been condemned for using exotic animal skins, including crocodiles and snakes, often sourced from farms with horrific living conditions and brutal slaughter practices.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,LVMH.PA
Starbucks,"Starbucks charges extra for plant-based milk alternatives, discouraging eco-friendly and animal-friendly choices, while profiting from dairy products tied to animal exploitation.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,SBUX
Burberry,"Burberry continues to use exotic skins and animal-derived materials in its products despite calls from activists and consumers to adopt sustainable, cruelty-free practices.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,BRBY.L
Herm�s,"Herm�s is criticized for breeding and slaughtering crocodiles and alligators for luxury handbags, with investigations exposing severe animal suffering in their supply chains.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,RMS.PA
Gucci,"Gucci, while making some progress in cruelty-free fashion, still uses animal-derived materials like wool and leather that involve exploitation and suffering.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,N/A (subsidiary of Kering)
Prada,"Prada has taken steps to stop using fur but continues to use other animal-based materials like leather and wool, which PETA argues are tied to cruelty and unsustainable practices.",PETA Naughty List,https://www.peta.org/news/peta-naughty-list-companies/,October,2024,1913.HK
Airbnb Inc.,Lists rental properties in Israeli settlements in the West Bank and East Jerusalem.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477231,February,2020,ABNB
Booking.com B.V.,Lists rental accommodations and travel services in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477232,February,2020,BKNG
Expedia Group Inc.,Provides travel booking services for settlement-based properties.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477233,February,2020,EXPE
TripAdvisor Inc.,Promotes tourism activities and locations in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477234,February,2020,TRIP
Egis Rail (Egis S.A.),Involved in transportation projects supporting settlement infrastructure.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477235,February,2020,N/A
Alstom S.A.,Participated in construction of settlement-related rail projects.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477236,February,2020,ALO.PA
Opodo Ltd.,Lists settlement accommodations for travel booking.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477237,February,2020,N/A (private)
Altice Europe N.V.,Provides telecommunications services to settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477238,February,2020,ATC.AS
eDreams ODIGEO S.A.,Facilitates travel services for settlement properties.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477239,February,2020,EAD.L
Motorola Solutions Inc.,Supplies surveillance and security technology used in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477240,February,2020,MSI
Afikim Public Transportation Ltd.,Provides public transportation services to and from settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477241,February,2020,N/A
Bank Hapoalim B.M.,Provides financial services supporting settlement housing and businesses.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477242,February,2020,POLI.TA
Bank Leumi Le-Israel B.M.,Finances construction projects and businesses in settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477243,February,2020,LUMI.TA
Bezeq Israel Telecommunications Corp.,Provides telecommunications infrastructure for settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477244,February,2020,BEZQ.TA
Cellcom Israel Ltd.,Offers mobile and internet services to settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477245,February,2020,CEL.TA
Delek Group Ltd.,Supplies fuel and energy services to settlements.,UN OHCHR Settlements Report 2020,https://www.bbc.com/news/world-middle-east-51477246,February,2020,DLEKG.TA
